"verse-number"	"original-verse"	"translated-verse"	"original-verse-to-confirm"	"translated-verse-to-confirm"	"episode-number"	"is-last-verse"	"top-margin"	"indentation"	"story-title"	"episode-title"	"url"	"image-src"	"image-href"	"section-original-title"	"section-translated-title"	"vol-1-fixes (fhs)"	"vol-2-fixes (mc)"
14880	"Sovent s'aloient arestant"	"que les chevaux s'arrêtaient souvent,"															
14881	"Li cheval, traiéent a painne"	"tellement ils peinaient à tirer"															
14882	"La charrete, tant estoit plainne."	"une si lourde charrette."	"plainne"	"pleine / lourde"													
14883	"Je demandai par quel semblance"	"Je t'ai demandé de quelle manière"															
14884	"J'en porroie emplir ma pance ;"	"je pourrais me remplir la panse,"															
14885	"Tu me deïs, quant te troverent,"	"tu m'as répondu qu'après t'avoir trouvé,"															
14886	"Qu'en lor charrete te geterent"	"ils t'ont jeté dans la charrette,"															
14887	"Et proierent q'assez menjasses"	"et t'ont prié, après t'avoir bien laissé manger,"															
14888	"Et que le remanant gardasses."	"de surveiller le reste."															
14889	"Tant m'en alas amonestant"	"Tu m'as tellement incité"															
14890	"Que je m'en reving au devant"	"que j'ai fini par aller au-devant,"															
14891	"Et je fis semblant d'estre mors ;"	"et fait semblant d'être mort."															
14892	"La fui je batuz a esfors"	"Mais ils m'ont battu à grands coups"															
14893	"Et de leviers et de bastons,"	"de barres et de bâtons,"															
14894	"Encor m'en dolent li crepons."	"j'en ai encore mal au derrière."															
14895	"N'est merveilles se j'oi anui,"	"Il n'est pas étonnant que je sois si contrarié"															
14896	"Quant de toi vengiez ne me sui."	"de n'avoir pu me venger de toi."															
14897	"En .I. des plus lons jors d'esté"	"Le jour le plus long de l'été"															
14898	"N'aroie je pas raconté"	"ne suffirait pas pour raconter"															
14899	"Les max, les anuiz que m'as fez."	"tous les maux et les ennuis que tu m'as faits."															
14900	"Mes or est tant meüz li plez"	"Mais l'affaire a pris une telle ampleur"															
14901	"Qu'a la cort en sonmes venu ;"	"que nous nous retrouvons à la cour maintenant,"															
14902	"Se a droit en sonmes tenu,"	"et si nous nous en tenons au droit,"															
14903	"De toi avré encor venjance,"	"j'aurai bientôt vengeance de toi,"															
14904	"Bien en ai en Dieu ma fiance."	"car j'ai toute confiance en Dieu."															
14905	"Je t'ai menee loiauté"	"Je t'ai toujours traité avec loyauté,"															
14906	"Et tu moi grant desloiauté ;"	"et tu as toujours été déloyal avec moi."															
14907	"Quant m'estordras, que que nus die,"	"Pour t'en sortir, quoi qu'on en dise,"	"Quant m'estordras"	"Pour t'en sortir"													
14908	"Petit savras de renardie. »"	"ta renardie te sera peu utile. »"															
14909	"Renart respont par reconfort :"	"Renart répond avec assurance :"						"x"									
14910	"« Sire Ysengrin, vos avez tort ;"	"« Seigneur Ysengrin, vous avez tort,"															
14911	"Vos m'encusez ne sai de quoi,"	"je ne sais pas de quoi vous m'accusez."															
14912	"Cil autre baron sont tuit coi,"	"D'ailleurs tous les barons restent muets,"															
14913	"Dist Renart, por ce que dis trop"	"continue Renart, parce que vous en dites trop"															
14914	"Tel i a qui vos tient por sot."	"au point de passer pour un sot."															
14915	"Vostre reson est descoverte"	"Vos intentions sont évidentes,"	"Vostre reson est descoverte"	"Vos intentions sont évidentes"													
14916	"Que mençonge avez dite aperte,"	"car vous avez menti ouvertement,"															
14917	"Et cil qui trop ment s'ame pert."	"et à trop mentir, on perd son âme."															
14918	"— Haï ! Renart, trop ai soufert"	"— Ah ! Renart, je n'ai que trop souffert"															
14919	"Ton grant anui et ton desroi ;"	"de tous les ennuis et tout le mal que tu m'as fait,"															
14920	"Mes se j'en ai congié du roi,"	"mais si le roi m'en donne la permission,"															
14921	"Ja avras la bataille a l'ueil. »"	"tu auras la guerre, ça te pend au nez. »"	"Ja avras la bataille a l'ueil"	"tu auras la guerre, ça te pend au nez"													
14922	"Renart respont : « Riens tant ne voil. »"	"Renart répond : « Je ne demande que ça. »"				"x"											
14923	"Por combatre son gage tent"	"Ysengrin déclare son intention de combattre,"	"Por combatre son gage tent"	"déclare son intention de combattre"	173			"x"		"Les préparatifs du combat"	"2015/06/les-preparatifs-du-combat.html"	"https://3.bp.blogspot.com/-eyBgXxO9gu0/V-_S0E52WZI/AAAAAAAAH0A/Ujn34HLm9sonkFYArgbORbzCzeTSz1WRgCLcB/s320/32l-preparatifs-du-combat.jpg"					
14924	"Ysengrin, et li rois le prent ;"	"que le roi accepte,"															
14925	"Renart aprés le son tendi,"	"puis Renart fait de même,"															
14926	"Si que li rois bien l'entendi."	"et le roi accepte pareillement."															
14927	"Bien dient li baron sanz doute"	"Les barons se disent alors sans le moindre doute,"															
14928	"Que la bataille i afiert toute."	"que la bataille va être prometteuse."	"i afiert toute"	"va être prometteuse"													
14929	"S'or ne set Renart d'escremie,"	"Malheur à Renart, s'il ne connaît pas l'escrime,"															
14930	"Mar vit la bataille aramie,"	"car le duel est inéluctable."	"aramie"	"inéluctable"													
14931	"Li rois demande ses ostages,"	"Le roi leur demande des otages"						"x"									
14932	"Qui mout estoit cortois et sages,"	"qui soient sages et courtois,"	"Qui mout estoit cortois et sages"	"qui soient courtois et sages"													
14933	"A nul d'els nes a pardonnez."	"et il n'en refuse aucun."															
14934	"Ysengrin a les suens livrez :"	"Ysengrin livre les siens,"															
14935	"Por lui a fet Brun l'ors entrer,"	"et fait entrer : Brun l'ours,"															
14936	"Tybert li chaz et Chantecler"	"Tibert le chat, Chantecler,"															
14937	"Et le lievre sire Coart ;"	"et le lièvre seigneur Couard,"															
14938	"Ceus ot Ysengrin a sa part."	"qui sont tous de son côté."															
14939	"Renart en ot des miex senez"	"Renart en a recruté parmi les mieux disposés"	"des miex senez"	"parmi les mieux disposés"													
14940	"Que il ot a sa part tornez :"	"à se rallier à sa cause,"															
14941	"Bruiant et Baucent le sengler"	"Il rassemble autour de lui :"															
14942	"Qu'il ot fait a soi assembler ;"	"Bruyant, Baucent le sanglier,"															
14943	"Et Espinart le heriçon,"	"Épinard le hérisson,"															
14944	"Grimbert son cosin le tesson,"	"et Grimbert son cousin le blaireau."															
14945	"Cil firent a Renart secors,"	"Ils viennent tous au secours de Renart,"															
14946	"Mout en pesa a Brun li ors."	"ce qui contrarie beaucoup Brun l'ours."															
14947	"La bataille ont aterminee"	"La bataille est fixée"															
14948	"A .XV. jors sanz demoree."	"pour dans quinze jours, pas un de plus."	"sanz demoree"	"pas un de plus"													
14949	"Grimbert acreanta mout bien"	"Grimbert garantit formellement"														"pas de virgule finale"	
14950	"Qu'il ne leroit por nule rien"	"qu'il fera tout son possible"															
14951	"Qu'il ne face Renart combatre"	"pour que Renart combatte Ysengrin,"															
14952	"Por l'orgoil Ysengrin abatre."	"et qu'il lui rabatte son orgueil."															
14953	"Li rois a dit : « Estez en pes !"	"Le roi dit : « Allez en paix !"															
14954	"A voz ostiex alez huimés. »"	"Retournez dans vos maisons maintenant. »"															
14955	"Li baron se sont departi ;"	"Les barons se séparent,"						"x"									
14956	"Malement ont le champ parti"	"après avoir grossièrement partagé le champ de bataille"	"Malement ont le champ parti"	"après avoir grossièrement partagé le champ de bataille"													
14957	"D'entre Renart et Ysengrin"	"entre Renart et Ysengrin,"															
14958	"Qui mout estoient mal voisin."	"les mauvais voisins."															
14959	"Renart n'est pas de tel puissance"	"Renart n'a pas la puissance"															
14960	"Con Ysengrin, mes sa fiance"	"d'Ysengrin, mais il a toute confiance"															
14961	"Avoit Renart en l'escremie,"	"en sa maîtrise de l'escrime,"															
14962	"Por ce ot bataille aramie."	"c'est pourquoi il a accepté la bataille."	"bataille aramie"	"a accepté la bataille"													
14963	"Engingneus est, mes n'est pas fors,"	"Il est dégourdi, mais ne sera pas assez fort"															
14964	"Se Ysengrin li fait esfors ;"	"si Ysengrin use de sa force."	"li fait esfors"	"use de sa force"													
14965	"De l'entredeus se set covrir"	"Des deux, il sait cependant mieux se protéger"															
14966	"Et bien tapir por descovrir"	"ou s'aplatir, pour prendre son adversaire"															
14967	"Son compaingnon, quant il a aise"	"par surprise s'il en a l'occasion,"															
14968	"De fere chose qui li plaise ;"	"et lui porter un de ses coups favoris."															
14969	"Tant s'est entremis de l'aprandre"	"Il s'est tant appliqué à en apprendre,"															
14970	"Que nus ne l'en porroit reprendre."	"que personne ne peut lui enlever ça."															
14971	"Mout sot Renart d'engins plusors,"	"Renart s'y connaît beaucoup en ruses,"															
14972	"De luite, de jambés, de tors,"	"en lutte, en crocs-en-jambe et autres tours."															
14973	"Ainz qu'lsengrin baillier le puisse,"	"Avant même qu'Ysengrin puisse le saisir,"															
14974	"Li brisera ou braz ou cuisse."	"il saura lui briser le bras ou la cuisse."															
14975	"Ysengrin entent moult a el,"	"Ysengrin songe à d'autres choses,"															
14976	"En pes se tient a son ostel."	"et reste au calme dans sa demeure."															
14977	"Qar el droit que il a se fie"	"Il se fie à son bon droit,"															
14978	"Et Renart en son cuer desfie ;"	"prêt à défier Renart de tout son cœur."															
14979	"Se il le puet as poinz baillier,"	"Si seulement il pouvait l'avoir entre les mains,"															
14980	"Forment le cuide travaillier,"	"il le ferait durement souffrir,"															
14981	"Tant desirre qu'a poins le tiengne,"	"tellement il désire le tenir,"															
14982	"Ja ne cuide q'a tens i viengne ;"	"mais il craint que ça n'arrive jamais."	"Ja ne cuide q'a tens i viengne"	"mais il craint que ça n'arrive jamais"													
14983	"Mout li desplest en son corage"	"Il n'est pas du tout content"	"Mout li desplest en son corage"	"Il n'est pas du tout content"													
14984	"Que la bataille tant li targe ;"	"que cette bataille tarde tant à venir,"															
14985	"Et ja ne cuide veoir l'eure"	"et s'imagine qu'il n'en verra jamais l'heure"															
14986	"Que elle soit, tant li demeure."	"tellement il est impatient."	"tant li demeure"	"tellement il est impatient"													
14987	"Renart estoit en mout grant painne"	"Renart prend beaucoup de peine"						"x"									
14988	"D'armes querre en la semainne,"	"pour trouver des armes durant ces deux semaines."															
14989	"Et Ysengrin tout ensement"	"Ysengrin en recherche"															
14990	"Porchace armes durement ;"	"tout aussi activement,"															
14991	"En grant porchaz est del haster"	"et se donne beaucoup de mal"															
14992	"Et en paine de l'aprester :"	"pour s'équiper en toute hâte."															
14993	"Cote a quise et armeüre,"	"Il trouve une cotte, une armure,"															
14994	"Escu et bone afeutreüre,"	"un bouclier bien colmaté,"	"Escu et bone afeutreüre"	"un bouclier bien colmaté"													
14995	"Chauces et jambieres bien fetes"	"des chausses et des jambières bien ajustées,"															
14996	"Qu'il a entor ses jambes traites."	"qu'il tire sur les jambes."															
14997	"Son escu si est blans trestoz,"	"Son bouclier est tout blanc,"															
14998	"La cote vremeille desouz ;"	"sa cotte est rouge,"															
14999	"Baston ot de neflier bien fet,"	"il a un beau bâton en néflier,"															
15000	"Bien fu armez au jor du plet."	"il est bien armé pour le jour du combat."															
15001	"Renart qui a maint escharniz"	"Renart, qui en a raillé plus d'un,"															
15002	"Ne refu mie desgarniz ;"	"n'est pas moins bien loti"															
15003	"Assez avoir de bons amis"	"grâce à de bons amis"															
15004	"Qui de lui se sont entremis."	"qui se sont bien occupés de lui."															
15005	"Escu bien fet a sa maniere"	"Il demande qu'on lui cherche un bouclier"	"bien fet a sa maniere"	"lui soit adapté"													
15006	"Et conmande que l'en li quiere ;"	"qui lui soit adapté,"															
15007	".I. en ont quis qui fu toz jaunes."	"et ils en trouvent un tout jaune."															
15008	"En sa cote n'ot pas .III. aunes ;"	"Sa cotte ne fait pas plus de trois aunes,"															
15009	"Mout estoit bone et aaisie,"	"mais elle est très confortable,"															
15010	"N'ot chauce ne fust gambaisie."	"et ses chausses sont bien rembourrées."														"fust"	
15011	".I. baston ot d'une aube espine,"	"Il a un bâton d'aubépine,"															
15012	"Qui mout estoit bone en plevine,"	"un vrai gage de garantie,"	"Qui mout estoit bone en plevine"	"un vrai gage de garantie"													
